33,Harry S. Truman,1945-1953,Democrat,He read every book in his hometown library.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/33_harry_s_truman.jpg
34,Dwight D. Eisenhower,1953-1961,Republican,He was the commander of Allied Forces during World War II.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/34_dwight_d_eisenhower%5B1%5D.jpg
35,John F. Kennedy,1961-1963,Democrat,He was the first Catholic President.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/35_john_f_kennedy.jpg
36,Lyndon B. Johnson,1963-1969,Democrat,He was an auto mechanic and teacher before being President.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/36_lyndon_b_johnson.jpg
37,Richard M. Nixon,1969-1974,Republican,He recommended a play to the Miami Dolphins in Super Bowl VI.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/37_richard_m_nixon.jpg
38,Gerald R. Ford,1974-1977,Republican,He held his daughter's High School prom in the White House.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/38_gerald_ford.jpg
39,James E. Carter,1977-1981,Democrat,He was the first President born in a hospital.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/39_jimmy_carter.jpg
40,Ronald W. Reagan,1981-1989,Republican,He was the oldest President(69-77).,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/40_ronald_reagan.jpg
41,George H.W. Bush,1989-1993,Republican,He survived 4 plane crashes during World War II.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/41_george_h_w_bush.jpg
42,William J. Clinton,1993-2001,Democrat,He Played the saxophone on national TV.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/42_bill_clinton.jpg
43,George W. Bush,2001-2009,Republican,He has a collection of over 250 signed baseballs.,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/43_george_w_bush.jpg
44,Barack H. Obama,2009-2017,Democrat,He was the first African-American President,https://www.whitehouse.gov/sites/whitehouse.gov/files/images/first-family/44_barack_obama%5B1%5D.jpg
45,Donald J. Trump, 2017-Present,Republican,He was the first president to ever have received a Stone Cold Stunner from Stone Cold Steve Austin.,https://cmgajcbuzz.files.wordpress.com/2015/12/nbc-fires-donald-trump-after-he-calls-mexicans-rapists-and-drug-runners1.jpg
